employee_no,designation,grade,department/project,salary_details,basic,housing_allowance,transportation_allowance,FOT,food_allowance,living_allowance,ticket_allowance,others,arrears
5365,Human Resources Officer,5B,Human Resources,0,0,0,0,0,0,0,0,0,0
5367,DCC Staff,4A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
5368,Qty. Surveyor,5A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
5369,Procurement Officer,5B,Procurement,0,0,0,0,0,0,0,0,0,0
5370,Architect Engineer,5A,West Yas,0,0,0,0,0,0,0,0,0,0
5371,Architect Engineer,5A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5372,Safety Officer,5B,New Al-Ain Hospital - P273,0,0,0,0,0,0,0,0,0,0
5374,Qty. Surveyor,5A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5375,Structural Engineer,5A,Design,0,0,0,0,0,0,0,0,0,0
5376,Mechanical Engineer,5A,Fairmont Hotel - P245,0,0,0,0,0,0,0,0,0,0
5377,Receptionist,4B,Administration,0,0,0,0,0,0,0,0,0,0
5379,Autocad Operator,4A,West Yas,0,0,0,0,0,0,0,0,0,0
5380,Operations Manager,7A,Grove,0,0,0,0,0,0,0,0,0,0
5381,HSE Coordinator,4A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
5382,Safety Officer,5B,Masdar City - P268,0,0,0,0,0,0,0,0,0,0
5383,DCC Staff,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
5384,Sr. Government Relation Officer,7B,Human Resources,0,0,0,0,0,0,0,0,0,0
5385,Logistic & Support Officer,5B,Labor Camp - Abu Dhabi,0,0,0,0,0,0,0,0,0,0
5386,IT Assistant,4B,Information Technology,0,0,0,0,0,0,0,0,0,0
5389,"Secretary, Site",4A,Grove,0,0,0,0,0,0,0,0,0,0
